channel,video_link,views,likes,dislikes,subscribers
zoella280390,https://www.youtube.com/watch?v=HTidzrJUgT0,15059432,429256,2603,12097835
zoella280390,https://www.youtube.com/watch?v=xZvRxVbxOKo,14286504,466651,6035,12097835
zoella280390,https://www.youtube.com/watch?v=aLPl2G-epfw,12983873,397879,3024,12097835
zoella280390,https://www.youtube.com/watch?v=my3Bfd6qYrs,12641466,293781,4322,12097835
zoella280390,https://www.youtube.com/watch?v=y8dI6PSpOXE,11722756,249209,5826,12097835
zoella280390,https://www.youtube.com/watch?v=aalyr7v0t14,11681531,446765,4023,12097835
zoella280390,https://www.youtube.com/watch?v=s7khbpqDfLg,10826283,296868,2245,12097835
makeupgeektv,https://www.youtube.com/watch?v=Txg-v1TZ1IQ,5708185,6945,444,1393919
makeupgeektv,https://www.youtube.com/watch?v=8_bJQdOd1hc,4699057,12818,611,1393919
makeupgeektv,https://www.youtube.com/watch?v=dZmNdJ9_P34,2874876,9669,535,1393919
makeupgeektv,https://www.youtube.com/watch?v=InA8Xbg-hvo,2762631,14894,652,1393919
makeupgeektv,https://www.youtube.com/watch?v=bMD-rjmhbuM,2750715,3658,432,1393919
makeupgeektv,https://www.youtube.com/watch?v=GcUfkH8z_WY,2651476,37093,681,1393919
makeupgeektv,https://www.youtube.com/watch?v=B9bmvMzIkAo,2466487,17303,1144,1393919
makeupgeektv,https://www.youtube.com/watch?v=IVO2PdrWKaQ,2333245,4950,468,1393919
makeupgeektv,https://www.youtube.com/watch?v=VdZHBPBtTak,2090245,4758,238,1393919
makeupgeektv,https://www.youtube.com/watch?v=pVkEo595Wqs,2019996,3002,238,1393919
shaaanxo,https://www.youtube.com/watch?v=CbsjGB5q8ww,7861811,65454,5148,3136465
shaaanxo,https://www.youtube.com/watch?v=wIXU59_-U1s,4987084,93634,2386,3136465
shaaanxo,https://www.youtube.com/watch?v=VodsQ7laz4c,4870999,102547,2598,3136465
shaaanxo,https://www.youtube.com/watch?v=hs2BM5XfaK8,4581060,43071,2300,3136465
shaaanxo,https://www.youtube.com/watch?v=bbCpTlFS6FY,4488134,36711,2313,3136465
shaaanxo,https://www.youtube.com/watch?v=cJCkLFvbhJA,2883867,62792,1275,3136465
shaaanxo,https://www.youtube.com/watch?v=WdHcfZIxASs,2764243,48942,921,3136465
shaaanxo,https://www.youtube.com/watch?v=L7GYOzB6cK8,2651556,57547,1979,3136465
shaaanxo,https://www.youtube.com/watch?v=zEtJ9hx8DCw,2542189,54092,954,3136465
shaaanxo,https://www.youtube.com/watch?v=XUiKp7zDeBI,2529005,39855,999,3136465
ChloeMorello,https://www.youtube.com/watch?v=1Rm6-xaNVJs,13747238,33233,6530,2477753
ChloeMorello,https://www.youtube.com/watch?v=MRpe43vHeRQ,5414300,42740,1446,2477753
ChloeMorello,https://www.youtube.com/watch?v=g3rmTxOiuBc,5184276,125520,3868,2477753
ChloeMorello,https://www.youtube.com/watch?v=YScWIPI1cfw,4869780,47398,945,2477753
ChloeMorello,https://www.youtube.com/watch?v=Dbz_wmJewF8,4846143,25733,2385,2477753
ChloeMorello,https://www.youtube.com/watch?v=7yyC5rFOHDU,4129654,40213,7805,2477753
ChloeMorello,https://www.youtube.com/watch?v=23HCIWwh6OQ,3939519,73319,1844,2477753
ChloeMorello,https://www.youtube.com/watch?v=KqtbYNE8Occ,3532342,52216,726,2477753
ChloeMorello,https://www.youtube.com/watch?v=H0QUdrHb-dU,3372925,54356,1729,2477753
ChloeMorello,https://www.youtube.com/watch?v=PdKFUFqiZQU,2786421,34800,501,2477753
Laurenbeautyy,https://www.youtube.com/watch?v=SWStkkX3iKc,10447924,147688,2137,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=NY76dwTLF14,8233367,73401,1834,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=aXlGiKzzZDA,6788196,73878,1962,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=onAuZfm3lfM,5933419,82580,2035,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=SFERtkJ8fgo,5891971,0,0,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=gkELwnplEmE,5163564,72945,3044,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=aYfyvQBSblg,5139809,62795,1214,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=RgXBD7KOxV0,4556113,60735,1233,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=iWqFA_lOpWw,3674565,38159,2039,3633146
Laurenbeautyy,https://www.youtube.com/watch?v=IT3nKSSTvow,3638747,34186,3781,3633146
Missglamorazzi,https://www.youtube.com/watch?v=Eh7WRYXVh9M,17200587,804688,56009,3882997
Missglamorazzi,https://www.youtube.com/watch?v=m_nfG6nuYsM,3672345,133957,1964,3882997
Missglamorazzi,https://www.youtube.com/watch?v=NLWCRBifduM,3387540,70738,1310,3882997
Missglamorazzi,https://www.youtube.com/watch?v=DAef7Ofloxw,3276115,46154,1077,3882997
Missglamorazzi,https://www.youtube.com/watch?v=J_PoqAjwNGc,3242663,0,0,3882997
Missglamorazzi,https://www.youtube.com/watch?v=-89KDP501oc,3051986,52236,926,3882997
Missglamorazzi,https://www.youtube.com/watch?v=Nd9EsiH_hx0,2959675,26674,1393,3882997
Missglamorazzi,https://www.youtube.com/watch?v=HAEp2Mzowp0,2756136,79079,1157,3882997
Missglamorazzi,https://www.youtube.com/watch?v=cC1GK2_qeko,2631285,63372,693,3882997
Missglamorazzi,https://www.youtube.com/watch?v=jAePpdlwnlA,2628969,69859,882,3882997
AllThatGlitters21,https://www.youtube.com/watch?v=h5m7kqmenyY,3980576,35668,2729,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=Q-VHo6Ot_xI,2118255,5954,1183,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=crJD-NYTPGA,1989409,10968,890,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=G03kuZKWSGw,1895061,4160,543,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=L1wcSeoTCD8,1828187,15000,764,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=5hkxsgbwwzQ,1817823,12963,1125,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=sOuxEZQYsTo,1791447,26400,986,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=9cqStzggozU,1780607,19140,964,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=0yKUS7u6wlU,1502573,6429,1231,1273766
AllThatGlitters21,https://www.youtube.com/watch?v=_Rhj0FO-en0,1480879,7435,878,1273766
Juicystar07,https://www.youtube.com/watch?v=hS79zNAbBRM,4095302,21947,1878,1772042
Juicystar07,https://www.youtube.com/watch?v=WirongWHcW4,4021731,10379,2085,1772042
Juicystar07,https://www.youtube.com/watch?v=5MrZ8OtSis4,3347058,13864,1856,1772042
Juicystar07,https://www.youtube.com/watch?v=cI52jWCnkvw,3176498,13437,2189,1772042
Juicystar07,https://www.youtube.com/watch?v=U0gfJ66preU,2825417,10296,812,1772042
Juicystar07,https://www.youtube.com/watch?v=2idB9Owl3mc,2557730,11955,1402,1772042
Juicystar07,https://www.youtube.com/watch?v=7umwr0cr_OA,2387618,3877,666,1772042
Juicystar07,https://www.youtube.com/watch?v=PU8DJ89fZOs,2274096,7700,2001,1772042
Juicystar07,https://www.youtube.com/watch?v=GLHcVeyd530,2267409,11267,1041,1772042
Juicystar07,https://www.youtube.com/watch?v=41BdPWuZge4,2171071,9546,984,1772042
beautybybrittneyx,https://www.youtube.com/watch?v=Xgk34euy4zo,7738934,144092,9685,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=VcFfsppYGJs,3531490,59399,3125,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=i_KgMa8Eh5E,2925830,59506,1745,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=r8TswmrlV40,2533884,36177,4043,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=RbxSOjOAiR4,2058665,10991,1617,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=9SeI_Tg-3Wc,1875065,39446,2301,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=C0q_88iJ0kk,1860882,37155,1529,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=gVo2d67nmYo,1780509,38459,1288,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=9KTDlkF4NR8,1705452,32770,981,1052994
beautybybrittneyx,https://www.youtube.com/watch?v=DmYx5jSMHjA,1579900,58358,10868,1052994
GlamLifeGuru,https://www.youtube.com/watch?v=iqmpN9SnFRM,4277145,60321,1448,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=ccYbg7bOo0o,4050652,66196,2429,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=GT150i2Xg3s,3846741,62095,3839,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=wF-JYesC82I,3740640,131567,2377,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=FqEuswNPAyU,3594881,65265,2436,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=eay_NdtmJVM,3528453,256190,1514,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=_hn2jbfB3T8,3514557,60279,5348,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=qZiL9X1WG94,3268632,62988,2033,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=98f5Th-GErE,3051516,47575,8471,3977136
GlamLifeGuru,https://www.youtube.com/watch?v=v9VcwByDq28,3020135,95182,2103,3977136
CutiePieMarzia,https://www.youtube.com/watch?v=t1PJ60mrHQc,24130993,593328,9612,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=k5tTRaq3E8I,17394389,659080,5594,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=5JrtAXei1oA,13317945,308235,2809,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=Ri2E2TRdOGQ,13052501,357995,1473,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=YS-2nW9B_KM,11356319,244140,1928,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=x3j7mkFqB1A,10184440,217052,2939,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=48S2ZDTiAXA,9828079,312582,2419,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=4QFP_W7R7P4,9569024,234278,1399,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=fkf3LbFzM6A,7767973,185290,1921,7265023
CutiePieMarzia,https://www.youtube.com/watch?v=sCK-Z_LYetk,7665235,252991,1976,7265023
grav3yardgirl,https://www.youtube.com/watch?v=t19JKxDXoFQ,17321201,143948,25193,8182540
grav3yardgirl,https://www.youtube.com/watch?v=l8_ig-iPCn0,14838779,55423,2822,8182540
grav3yardgirl,https://www.youtube.com/watch?v=KFMQcQtzmsk,13496315,161404,7129,8182540
grav3yardgirl,https://www.youtube.com/watch?v=2xKOGToXtRw,12026766,150175,7084,8182540
grav3yardgirl,https://www.youtube.com/watch?v=cpJf_PIzs9I,11033138,114587,9786,8182540
grav3yardgirl,https://www.youtube.com/watch?v=nul0L4itTa0,10016955,118062,10805,8182540
grav3yardgirl,https://www.youtube.com/watch?v=NEEfODO1FWM,9747041,132687,6006,8182540
grav3yardgirl,https://www.youtube.com/watch?v=mf5BYojguoI,9384061,154154,13297,8182540
grav3yardgirl,https://www.youtube.com/watch?v=ruIRWi21XFo,9212965,94858,3966,8182540
grav3yardgirl,https://www.youtube.com/watch?v=ZT43KlD2Eb8,9198765,162999,9967,8182540
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=9u1kgc0dT4M,8428655,220379,4958,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=boMxogTNQD4,6654492,442358,4176,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=PtXwS40iaNs,6067164,227120,4733,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=GaFNKZO51tw,6006871,313514,5446,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=EQzIbLeGnr0,5947791,211032,21633,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=OqlQM7PKWQs,5790150,227498,19316,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=BIlIzzk3dqs,6286737,404609,7286,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=rNI9nfsXPys,5507763,159503,15722,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=3xu9qm5ea88,5485455,317917,4613,3926651
UCucot-Zp428OwkyRm2I7v2Q,https://www.youtube.com/watch?v=ROzC9ZySGos,5089867,161522,15992,3926651
HauteBrilliance,https://www.youtube.com/watch?v=UZFqFR72-sY,5578917,191148,3320,3268389
HauteBrilliance,https://www.youtube.com/watch?v=S4QNHFK2hcs,4390485,262353,1160,3268389
HauteBrilliance,https://www.youtube.com/watch?v=sPbdCkAN1VA,4336818,239578,1769,3268389
HauteBrilliance,https://www.youtube.com/watch?v=v-yRpzSxk58,3288801,57244,1287,3268389
HauteBrilliance,https://www.youtube.com/watch?v=U5p2kUuDJOQ,3170472,98353,1667,3268389
HauteBrilliance,https://www.youtube.com/watch?v=1hizIVS3Pnw,3085920,124173,1169,3268389
HauteBrilliance,https://www.youtube.com/watch?v=c65qQgW8xuw,3066178,78690,2339,3268389
HauteBrilliance,https://www.youtube.com/watch?v=oy87PTdkHLo,2973073,178809,3280,3268389
HauteBrilliance,https://www.youtube.com/watch?v=ohBdXQBLqWk,2951117,82942,2607,3268389
HauteBrilliance,https://www.youtube.com/watch?v=LN9ZKUWY784,2427829,80967,1994,3268389
lisaeldridgedotcom,https://www.youtube.com/watch?v=i8e5D83P6UI,4290896,152143,1176,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=Jwngbzv0gbY,3553341,46185,535,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=RAneUTr8mog,3328694,71863,1422,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=oGpLLWnO3XY,3095663,39674,593,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=f-SZA1tkViU,2757159,28614,699,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=fLnKtPVpofM,2693230,37825,511,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=ayFFmXmMfN8,2452308,39342,365,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=D2D7RtPEVwI,2393318,60047,444,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=fl-Ye52XDRA,1716185,33486,403,1774397
lisaeldridgedotcom,https://www.youtube.com/watch?v=YMRZy55InWs,1713767,27933,381,1774397
