channel,video_link,views,likes,dislikes,subscribers
itsmyRayeRaye,https://www.youtube.com/watch?v=tq2KPJtuwRw,1625646,32920,1309,1820496
BritPopPrincess,https://www.youtube.com/watch?v=lXxeUT2SWBA,6498266,152729,8242,2266524
BritPopPrincess,https://www.youtube.com/watch?v=W8iwgwhzajI,5257688,128205,3803,2266524
BritPopPrincess,https://www.youtube.com/watch?v=oT0eOukfry8,2986414,86467,1673,2266524
BritPopPrincess,https://www.youtube.com/watch?v=H2s0lDFK89E,2979696,92087,1440,2266524
BritPopPrincess,https://www.youtube.com/watch?v=xez100H-_bk,2930659,67998,1718,2266524
BritPopPrincess,https://www.youtube.com/watch?v=NZ-iP-Xxqss,2787725,117006,2033,2266524
BritPopPrincess,https://www.youtube.com/watch?v=4G5eVbP1ezs,2733289,79602,2070,2266524
BritPopPrincess,https://www.youtube.com/watch?v=oZ52D-gQcgc,2714108,72841,841,2266524
BritPopPrincess,https://www.youtube.com/watch?v=2qrAvSH33ZQ,2529253,64990,1427,2266524
BritPopPrincess,https://www.youtube.com/watch?v=fb-H4Qvwn-I,2491199,80500,1350,2266524
AndreasChoice,https://www.youtube.com/watch?v=Ha4c_MkRtAM,13127347,93291,1002,4248559
AndreasChoice,https://www.youtube.com/watch?v=iYE05AylhpU,9175317,11707,4274,4248559
AndreasChoice,https://www.youtube.com/watch?v=Y_iee2lbKYU,7766281,90465,1901,4248559
AndreasChoice,https://www.youtube.com/watch?v=nfuA8WY_cWw,7669216,138855,3537,4248559
AndreasChoice,https://www.youtube.com/watch?v=0Qf_tqGHoy0,6650608,110535,1847,4248559
AndreasChoice,https://www.youtube.com/watch?v=1VZpCtwH7tE,5667419,117506,3580,4248559
AndreasChoice,https://www.youtube.com/watch?v=gl6jrDtnU6M,5512892,112716,1604,4248559
AndreasChoice,https://www.youtube.com/watch?v=4KyTO405GjA,5161380,133750,1239,4248559
AndreasChoice,https://www.youtube.com/watch?v=cuwZY0KZK3c,4827516,60246,1611,4248559
AndreasChoice,https://www.youtube.com/watch?v=swM9IXZE3Lk,4322830,160938,1742,4248559
SmartistaBeauty,https://www.youtube.com/watch?v=GXImMOSED4A,2067319,32307,539,634100
SmartistaBeauty,https://www.youtube.com/watch?v=8T3foQP9oxQ,1005149,16816,395,634100
SmartistaBeauty,https://www.youtube.com/watch?v=AjlOFUvlLH8,836655,27510,252,634100
SmartistaBeauty,https://www.youtube.com/watch?v=RsLzd9clcrc,800450,33138,465,634100
SmartistaBeauty,https://www.youtube.com/watch?v=cFYohrxP8AA,734359,43112,294,634100
SmartistaBeauty,https://www.youtube.com/watch?v=YD9fS9Ta9RI,623956,18570,187,634100
SmartistaBeauty,https://www.youtube.com/watch?v=24VsQcyP8GQ,582562,42571,416,634100
SmartistaBeauty,https://www.youtube.com/watch?v=iTdpZxKSkRE,551924,13102,149,634100
SmartistaBeauty,https://www.youtube.com/watch?v=r1ImILB8CC4,548951,15081,105,634100
SmartistaBeauty,https://www.youtube.com/watch?v=jV77h6zDKy8,516620,17494,221,634100
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=hQbeB0YXLhs,7775568,190396,3223,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=V0QIz_AWSuw,3472849,74001,3397,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=zWkbS9-RpLw,3216162,50670,1292,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=RqyrXMrWdGs,1785697,26784,876,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=Fgebxq5vZvc,1643944,19328,522,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=DkpIbWJ_dl4,1163325,19841,486,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=H9lNfrhJBTM,1130793,24267,634,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=pHV9g5_NJLc,971439,20280,419,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=BUyuHU4whok,954520,22039,367,594791
UCroDJPcFCf6DBmHns6Xeb8g,https://www.youtube.com/watch?v=7jdFB1zWTgQ,942354,18358,466,594791
beautycrush,https://www.youtube.com/watch?v=vYDTPe41e_Q,2331888,23350,514,1840619
beautycrush,https://www.youtube.com/watch?v=YMkr3fAjAys,1936801,19440,715,1840619
beautycrush,https://www.youtube.com/watch?v=dSiJVSsqmiU,1543763,32788,591,1840619
beautycrush,https://www.youtube.com/watch?v=XZNunI4l-TY,1422549,5771,203,1840619
beautycrush,https://www.youtube.com/watch?v=-TdR_tHdLKE,1392053,16638,491,1840619
beautycrush,https://www.youtube.com/watch?v=IQ3d23EA-28,1379158,24861,766,1840619
beautycrush,https://www.youtube.com/watch?v=hu_BiqDQ6zY,1327635,11239,351,1840619
beautycrush,https://www.youtube.com/watch?v=ufOgR1-qYtA,1247113,19866,253,1840619
beautycrush,https://www.youtube.com/watch?v=bbCzIPAmUSY,1209308,28758,767,1840619
beautycrush,https://www.youtube.com/watch?v=kr-YIdqW72I,1201677,4416,418,1840619
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=kx6nsbyPMj0,18006579,142060,6459,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=AURbiW5qBsk,9434459,138136,2285,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=RJXRKtV_oWI,5874694,73113,5150,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=schCpd3NgVg,3414707,35928,1649,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=gH-VbkXbzVk,2813884,61625,995,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=kVIADlaHUfk,2179210,24595,491,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=ABWBwPcj_IY,1631704,34270,795,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=a_BOajt0eBc,1521503,47137,495,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=jvlK23F1WVs,1305697,45730,458,1249062
UCNEwha2SIAz3NTtv9G0QPsg,https://www.youtube.com/watch?v=fYCwqCjujD0,1298098,28127,365,1249062
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=FaySCNI7VNg,26650985,432692,14738,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=Lf41bxFfqFc,9365844,129673,4766,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=67Kd3US40ss,3404807,53969,1326,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=X7Y0fpGiSvw,2864837,44078,891,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=O5zCWArnwFI,2742762,47469,1076,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=630guWD2DE0,2553005,100819,1369,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=T2vZcNnLZwo,1960797,51501,650,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=U-0PguA143w,1890463,51146,1046,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=ghjt3qjJWEY,1770488,39874,3035,1846289
UCw95JvOs39snnMPkYs-6Sog,https://www.youtube.com/watch?v=S17WhNWsldQ,1670305,35112,518,1846289
Cydbeats,https://www.youtube.com/watch?v=Hh_HeFjrH8k,1054760,32131,398,693678
Cydbeats,https://www.youtube.com/watch?v=M3yVyLCgIYc,970883,18059,292,693678
Cydbeats,https://www.youtube.com/watch?v=5Z4gKawhIKQ,833945,48319,189,693678
Cydbeats,https://www.youtube.com/watch?v=zL500jYybAo,768623,27116,207,693678
Cydbeats,https://www.youtube.com/watch?v=D7WDU5ZKUvk,770090,22148,602,693678
Cydbeats,https://www.youtube.com/watch?v=SIjVDc4-KOA,620646,23057,235,693678
Cydbeats,https://www.youtube.com/watch?v=0WTjCzYduWY,449994,13280,308,693678
Cydbeats,https://www.youtube.com/watch?v=zdlODhKE7sE,410135,11517,215,693678
Cydbeats,https://www.youtube.com/watch?v=zZEFG9DZJ9U,401283,12827,303,693678
Cydbeats,https://www.youtube.com/watch?v=a2y_AFZb20Q,372676,6940,237,693678
Irishcel507,https://www.youtube.com/watch?v=aO_NkoTLefU,8065054,123425,5388,984010
Irishcel507,https://www.youtube.com/watch?v=3BOeTrN9m_I,6514966,46585,6011,984010
Irishcel507,https://www.youtube.com/watch?v=OgccZmaCL00,2870991,36094,2151,984010
Irishcel507,https://www.youtube.com/watch?v=-R7iqJmfQIc,2262915,56167,3444,984010
Irishcel507,https://www.youtube.com/watch?v=eV7MtB5jleQ,1817413,24000,1134,984010
Irishcel507,https://www.youtube.com/watch?v=L_uRhemQmw8,1577487,35861,1224,984010
Irishcel507,https://www.youtube.com/watch?v=mQ8wGer8B9Q,1531068,17031,804,984010
Irishcel507,https://www.youtube.com/watch?v=I9KPW8Edhf0,1372583,38602,3106,984010
Irishcel507,https://www.youtube.com/watch?v=IXReFdubvqg,1342725,41164,2169,984010
Irishcel507,https://www.youtube.com/watch?v=WbIlj3IbA-0,1280353,21582,1115,984010
lilpumpkinpie05,https://www.youtube.com/watch?v=9GysUQfI3ZQ,4929470,98566,5484,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=FLzVzlLF8vs,4198170,211954,5357,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=URTjC9H5l7k,3376424,131529,4095,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=4cXsgT3ZcL8,3206882,150924,4207,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=hE40GuXjUM0,2709136,66044,964,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=2zISrf-7V3U,2570448,112276,1883,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=e6PmD4wveXc,2382102,99146,2143,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=-CPnzBNJdB4,2328666,78146,3334,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=z7V5I3v7zh0,1988917,37066,769,2271928
lilpumpkinpie05,https://www.youtube.com/watch?v=g85RGiOgUtI,1837278,67207,2051,2271928
luhhsettyxo,https://www.youtube.com/watch?v=8DbKLUM9bBY,8361901,252556,4283,1461403
luhhsettyxo,https://www.youtube.com/watch?v=tlbGZYyN8jE,2783054,26368,683,1461403
luhhsettyxo,https://www.youtube.com/watch?v=JGA007XqFtU,2560809,31536,2108,1461403
luhhsettyxo,https://www.youtube.com/watch?v=LCpgsHyqsrQ,2125979,58085,664,1461403
luhhsettyxo,https://www.youtube.com/watch?v=wgh7B5Jf5d4,1931892,62638,583,1461403
luhhsettyxo,https://www.youtube.com/watch?v=1cYvbQ9hvVk,1832363,55847,507,1461403
luhhsettyxo,https://www.youtube.com/watch?v=rRdXNZeWFb0,1749102,55625,784,1461403
luhhsettyxo,https://www.youtube.com/watch?v=FZJNuk97gHQ,1572706,38913,568,1461403
luhhsettyxo,https://www.youtube.com/watch?v=oIXWi8kev2w,1506618,36131,520,1461403
luhhsettyxo,https://www.youtube.com/watch?v=yX9usFnx6Ow,1494648,22134,824,1461403
BeautyByKelliee,https://www.youtube.com/watch?v=23Ezx3_tDUg,3393159,82832,4589,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=-hNBdAu6Lng,3386750,72737,2235,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=g4Ax6pAjBLk,3246444,64231,4848,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=OjcpSmIThIk,2740145,46955,2797,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=7ZTueYE1rvI,2403223,62577,1398,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=270P3RIVLiw,2307979,82279,1342,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=KrhSZ-UFuLk,1946854,50248,1256,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=iV8CMnR7TLg,1876254,66289,2300,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=5fX61q_gR7Y,1748355,35562,1026,1631787
BeautyByKelliee,https://www.youtube.com/watch?v=3bZlqBB2IEY,1662666,66320,853,1631787
yellachyk1,https://www.youtube.com/watch?v=zYGxJ_P-eRE,1456840,41267,1120,596806
yellachyk1,https://www.youtube.com/watch?v=xUvNIA9mZbY,864104,27444,522,596806
yellachyk1,https://www.youtube.com/watch?v=caaU-2X1n7Y,850755,26432,415,596806
yellachyk1,https://www.youtube.com/watch?v=TMPA-DtBp7g,794577,18713,466,596806
yellachyk1,https://www.youtube.com/watch?v=lse-Gt_3NzA,723148,23599,322,596806
yellachyk1,https://www.youtube.com/watch?v=JBurycd_bFs,613427,11759,613,596806
yellachyk1,https://www.youtube.com/watch?v=qqsPHBsHWIY,578614,24273,433,596806
yellachyk1,https://www.youtube.com/watch?v=Sf9kl0O19Wk,540175,10457,266,596806
yellachyk1,https://www.youtube.com/watch?v=v67ZgJhNWBI,527806,21426,239,596806
yellachyk1,https://www.youtube.com/watch?v=Vg625yC800U,465068,15436,682,596806
RavenElyseTV,https://www.youtube.com/watch?v=AalUi8DqyYA,1546841,20147,803,657370
RavenElyseTV,https://www.youtube.com/watch?v=4KjE9p6YwRI,1019679,20581,365,657370
RavenElyseTV,https://www.youtube.com/watch?v=z2QucqEEp_I,934848,18029,287,657370
RavenElyseTV,https://www.youtube.com/watch?v=tMWPYCqN5NU,834334,0,0,657370
RavenElyseTV,https://www.youtube.com/watch?v=xAJWIN0jtNo,809296,18769,604,657370
RavenElyseTV,https://www.youtube.com/watch?v=QhA8OF8aBOg,783673,10394,341,657370
RavenElyseTV,https://www.youtube.com/watch?v=5adR9CcyJgg,765581,27646,248,657370
RavenElyseTV,https://www.youtube.com/watch?v=37sorlS6-FY,693831,11476,338,657370
RavenElyseTV,https://www.youtube.com/watch?v=wqn6s7UO-oo,653180,5247,291,657370
RavenElyseTV,https://www.youtube.com/watch?v=n4sflUDpUtU,652798,5398,329,657370
MsAaliyahJay,https://www.youtube.com/watch?v=jDNgA6HARr8,3056706,62698,3615,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=F_G_J2H6wlo,2280129,58920,931,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=ulYNuZGwxqg,1876330,68397,1144,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=ydDMp1xLdq4,1854291,61855,513,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=ZSs_FR93qOQ,1758628,36901,1366,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=BiVjkNjn4Fw,1577090,59456,1131,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=xckf0Ca8cD8,1056945,28817,1235,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=TV77ktoflB0,1035066,30425,1004,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=BzefjybSdNk,986231,63125,1395,1105798
MsAaliyahJay,https://www.youtube.com/watch?v=7svTsmLJl90,880479,23312,1225,1105798
beautybyjj,https://www.youtube.com/watch?v=Z3KTDxGGPhs,2026846,5575,472,640643
beautybyjj,https://www.youtube.com/watch?v=acRSHqIMQNk,1120578,0,0,640643
beautybyjj,https://www.youtube.com/watch?v=kZhEK2RmMmo,1101036,0,0,640643
beautybyjj,https://www.youtube.com/watch?v=C4jfvMDJi_8,955675,1213,163,640643
beautybyjj,https://www.youtube.com/watch?v=yAYSQl4Ni_A,916519,25186,235,640643
beautybyjj,https://www.youtube.com/watch?v=FoYfZ4kvoX0,897299,16531,388,640643
beautybyjj,https://www.youtube.com/watch?v=4UJGCTIx6D8,861719,13363,246,640643
beautybyjj,https://www.youtube.com/watch?v=9h7VDy5Ljhs,819831,11266,197,640643
beautybyjj,https://www.youtube.com/watch?v=Qw-VZYmOF7E,788825,4815,188,640643
beautybyjj,https://www.youtube.com/watch?v=Wdf57ADLoTc,562350,2894,164,640643
peakmill,https://www.youtube.com/watch?v=KonWIYB4vcE,3723610,70306,1260,1126439
peakmill,https://www.youtube.com/watch?v=hL-lAa92i5o,3461138,75861,1146,1126439
peakmill,https://www.youtube.com/watch?v=JAdqsL5Nfgk,2116532,49425,680,1126439
peakmill,https://www.youtube.com/watch?v=rNB0M7PfBI4,1975193,54453,877,1126439
peakmill,https://www.youtube.com/watch?v=EDcXUKsuifw,1714724,47981,486,1126439
peakmill,https://www.youtube.com/watch?v=hYWgaRmyLys,1661179,44517,363,1126439
peakmill,https://www.youtube.com/watch?v=-_DxgjAgmaI,1652706,43132,469,1126439
peakmill,https://www.youtube.com/watch?v=lYLJ_YthzcI,1638243,31163,761,1126439
peakmill,https://www.youtube.com/watch?v=izr7FY7woso,1571826,23893,579,1126439
peakmill,https://www.youtube.com/watch?v=Ix13j5o2-3I,1520851,52405,719,1126439
