channel,video_link,views,likes,dislikes
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=WxkVZxWjxKo,1884447,91849,903
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=lbDalERJ2Os,7856675,112649,1126
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=AvK3g2Va-2c,5358742,88701,1084
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=DAu_jF-9AXs,2177111,126910,1436
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=Gqa9svhOHCo,4077199,56873,1224
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=dqOsYjKtrZI,4077199,125270,1444
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=9sfdPfojPmY,2177111,86708,1423
UCT-_4GqC-yLY1xtTHhwY0hA,https://www.youtube.com/watch?v=pdrn6-4sfiA,6335098,89083,678
MichellePhan,https://www.youtube.com/watch?v=J4-GRH2nDvw,14793350,149769,19604
MichellePhan,https://www.youtube.com/watch?v=bHVOxhEpjp0,5645647,201317,16038
MichellePhan,https://www.youtube.com/watch?v=YFMaLuI1uxc,55419066,74061,9248
MichellePhan,https://www.youtube.com/watch?v=SHkJpjjPIvM,19316579,150555,11827
MichellePhan,https://www.youtube.com/watch?v=qg-2rDnWCJA,8056775,97754,4337
MichellePhan,https://www.youtube.com/watch?v=qf5mJ7aR2t8,563478,21453,1045
MichellePhan,https://www.youtube.com/watch?v=2i5qkSxF60U,2378949,72683,4846
MichellePhan,https://www.youtube.com/watch?v=eH82bqTB3i0,6397479,43687,2937
MichellePhan,https://www.youtube.com/watch?v=OB8nfJCOIeE,6224405,37630,2416
MichellePhan,https://www.youtube.com/watch?v=Rc0vliuLm28,7372220,178188,3618
itsmyRayeRaye,https://www.youtube.com/watch?v=nqE_l872dLU,2076562,68102,2144
itsmyRayeRaye,https://www.youtube.com/watch?v=MFMksUH_KZs,1247551,82606,2123
itsmyRayeRaye,https://www.youtube.com/watch?v=qRyurzO716I,2528289,95097,736
itsmyRayeRaye,https://www.youtube.com/watch?v=ASyMnp6V21Y,368322,77160,955
itsmyRayeRaye,https://www.youtube.com/watch?v=cjtC0k-io2Q,666920,37576,932
itsmyRayeRaye,https://www.youtube.com/watch?v=ix9HeW3U1WU,7224943,27332,810
itsmyRayeRaye,https://www.youtube.com/watch?v=r0yN3llRw-o,801123,43628,1243
itsmyRayeRaye,https://www.youtube.com/watch?v=KfoLLc3Nbl8,2655194,38467,819
itsmyRayeRaye,https://www.youtube.com/watch?v=-sCL_qv8nMo,20293,45209,544
itsmyRayeRaye,https://www.youtube.com/watch?v=tq2KPJtuwRw,653945,32083,1260
BritPopPrincess,https://www.youtube.com/watch?v=lXxeUT2SWBA,2243290,143122,7450
BritPopPrincess,https://www.youtube.com/watch?v=W8iwgwhzajI,276418,125704,3735
BritPopPrincess,https://www.youtube.com/watch?v=xez100H-_bk,2469282,65913,1668
BritPopPrincess,https://www.youtube.com/watch?v=oT0eOukfry8,2493742,82395,1594
BritPopPrincess,https://www.youtube.com/watch?v=oZ52D-gQcgc,855245,72162,820
BritPopPrincess,https://www.youtube.com/watch?v=NZ-iP-Xxqss,782258,112882,1962
BritPopPrincess,https://www.youtube.com/watch?v=H2s0lDFK89E,1949102,82067,1167
BritPopPrincess,https://www.youtube.com/watch?v=4G5eVbP1ezs,2786298,74496,1935
BritPopPrincess,https://www.youtube.com/watch?v=2qrAvSH33ZQ,2762398,60593,1312
BritPopPrincess,https://www.youtube.com/watch?v=fb-H4Qvwn-I,2493742,75345,1232
